id,year
316,2008
317,2006
318,2007
319,2007
320,2008
321,2007
322,2007
323,2006
324,2007
325,2007
326,-1
327,2007
328,2007
329,2006
330,2006
331,2008
332,-1
333,-1
334,-1
335,2007
336,2015
337,2015
338,2015
339,1887
340,2015
341,2013
342,-1
343,2010
344,2015
345,-1
346,-1
347,2014
348,-1
349,2012
350,2010
351,2005
352,2014
353,2014
354,2014
355,2014
356,2013
357,2013
358,2011
359,2014
360,2012
361,2012
362,2012
363,2014
364,2014
365,2013
366,2000
367,1999
368,2001
369,1999
370,1991
371,2002
372,2002
373,2002
374,2001
375,1997
376,2002
377,2001
378,1996
379,2001
380,2002
381,2000
382,2000
383,2001
384,2002
385,2001
386,2000
387,2000
388,1999
389,2002
390,2001
391,2001
392,2000
393,2002
394,2001
395,2001
396,2007
397,2008
398,2008
399,2008
400,-1
401,2008
402,2007
403,2005
404,2005
405,-1
406,-1
407,2007
408,2008
409,2007
410,2006
411,2006
412,2008
413,2007
414,-1
415,2007
416,-1
417,-1
418,2007
419,2011
420,2015
421,2013
422,2015
423,2015
424,2014
425,2015
426,2011
427,2010
428,2015
429,2013
430,2014
431,2015
432,2014
433,2014
434,2012
435,2015
436,2015
437,2012
438,2012
439,2013
440,2013
441,2015
442,2013
443,2012
444,2015
445,2015
446,2014
447,2015
448,2014
449,2006
450,-1
451,2007
452,2011
453,-1
454,2012
455,2011
456,-1
457,2011
458,2006
459,-1
460,2011
461,2012
462,2010
463,2007
464,2011
465,2008
466,2007
467,2010
468,2011
469,2011
470,2003
471,2010
472,2010
473,2010
474,2004
475,2009
476,2009
477,2010
478,2005
479,2006
480,2009
481,2008
482,2010
483,2011
484,2011
485,2009
486,2010
487,2010
488,2010
489,2010
490,-1
491,2011
492,2008
493,2009
494,2011
495,2010
496,2009
497,2009
498,2010
499,2011
500,2011
501,2010
502,-1
503,2011
504,2009
505,2009
506,2011
507,2009
508,2009
509,2014
510,2014
511,2010
512,-1
513,2013
514,2012
515,2014
516,2014
517,2014
518,2014
519,2014
520,2013
521,2013
522,2014
523,2015
524,2014
525,2015
526,2014
527,2015
528,-1
529,2014
530,2013
531,2011
532,2015
533,2015
534,2014
535,2015
536,2013
537,2012
538,2014
539,2014
540,2012
541,2012
542,2012
543,2013
544,2013
545,2012
546,2014
547,2011
548,2013
549,2011
550,2014
551,2013
552,2015
553,2013
554,2015
555,2013
556,2010
557,2013
558,2014
559,2013
560,2013
561,2014
562,2010
563,2012
564,2013
565,2011
566,2013
567,2011
568,2012
569,2014
570,2015
571,2015
572,2015
573,2015
574,2016
575,2015
576,2014
577,2016
578,2015
579,2016
580,2016
581,2016
582,2013
583,2014
584,2016
585,2016
586,2016
587,2016
588,2015
589,2015
590,2016
591,2016
592,2014
593,2016
594,2015
595,2014
596,2015
597,2016
598,2013
599,2010
600,2011
601,2012
602,2010
603,2010
604,2008
605,2009
606,2011
607,2011
608,2012
609,2012
610,2012
611,2010
612,2010
613,2012
614,2011
615,2011
616,2011
617,2012
618,2009
619,-1
620,-1
621,2010
622,2009
623,2010
624,2010
625,2010
626,2008
627,2009
628,2012
629,2013
630,2013
631,2011
632,2013
633,2013
634,2013
635,2010
636,2010
637,2014
638,2010
639,2012
640,2014
641,2014
642,2013
643,2012
644,2013
645,2014
646,2013
647,2013
648,2014
649,2013
650,2014
651,2014
652,2014
653,2013
654,2014
655,2013
656,2013
657,2011
658,2013
659,2012
660,2012
661,2013
662,2011
663,2012
664,2013
665,2013
666,2014
667,2012
668,2014
669,2013
670,2013
671,2012
672,2014
673,2013
674,2012
675,2013
676,2012
677,2011
678,2012
679,2012
680,2011
681,2011
682,2011
683,2010
684,2012
685,2012
686,2011
687,2012
688,2011
689,2012
690,2013
691,2012
692,2012
693,2012
694,2013
